2.179364433338384643e-01,2.397197628038341966e-01,2.309977589113266783e-01,2.195281936947189316e-01,2.205350898490110456e-01,2.142795485132004685e-01,2.185426362401283185e-01,2.138060541945108473e-01,2.213892988204840817e-01,2.180291212855300365e-01,2.328977390134008840e-01,2.479954829754977552e-01,2.180836340446979937e-01
2.449615980119691228e-01,2.611669371076205115e-01,2.515592360331830313e-01,2.414339438912472546e-01,2.429339428467114093e-01,2.398144012187709284e-01,2.431263839119699177e-01,2.396660329869501893e-01,2.433845641687591155e-01,2.406342327373290346e-01,2.536766484632223539e-01,2.726155571849728232e-01,2.439584079712043274e-01
2.561477638211522856e-01,2.644792355319324217e-01,2.613107690356585855e-01,2.458486588260262173e-01,2.509634569879356514e-01,2.478505576409121558e-01,2.533492697321643727e-01,2.484061404010986240e-01,2.502754747725532969e-01,2.465913145475509549e-01,2.618131312750985873e-01,2.825362993361899000e-01,2.532201791857919826e-01
2.564760966813300347e-01,2.565095759109065621e-01,2.634407175221903374e-01,2.391276660686215694e-01,2.443023042248342047e-01,2.357627560077229234e-01,2.424571656699884004e-01,2.366291982920736281e-01,2.427496933281858837e-01,2.406871154359170317e-01,2.626644827396293347e-01,2.779823362133996278e-01,2.533005892015236515e-01
2.425210286154939332e-01,2.343109320505009086e-01,2.498097503122461704e-01,2.200089017658124202e-01,2.251916264158503600e-01,2.119498235804493647e-01,2.191055899325475287e-01,2.127452479791891449e-01,2.232871738279809115e-01,2.219696690714323406e-01,2.481685421174447126e-01,2.596823365227559077e-01,2.388377596092505772e-01
2.029540092299495779e-01,1.940716738489426663e-01,2.114799079756858879e-01,1.814355188791716977e-01,1.849917848447560353e-01,1.691810149327594714e-01,1.741546716125996486e-01,1.697438141325791627e-01,1.831349586603627511e-01,1.833959026856280539e-01,2.100286219880656002e-01,2.238116345170115540e-01,1.995162420621744426e-01
1.664344337456923617e-01,1.561784981175051712e-01,1.723244203368818894e-01,1.395742725899229153e-01,1.472069703543766039e-01,1.301147718937851749e-01,1.359548968906555688e-01,1.301236316463954823e-01,1.457213609704904045e-01,1.411777596397969792e-01,1.712574636135518469e-01,1.894147220132107179e-01,1.634796603092613376e-01
2.029540092299484677e-01,1.940716738489433602e-01,2.114799079756866096e-01,1.814355188791722251e-01,1.849917848447560909e-01,1.691810149327591384e-01,1.741546716126029515e-01,1.697438141325766092e-01,1.831349586603655266e-01,1.833959026856291086e-01,2.100286219880638516e-01,2.238116345170107213e-01,1.995162420621737764e-01
2.425210286154922401e-01,2.343109320505001592e-01,2.498097503122483909e-01,2.200089017658119761e-01,2.251916264158504710e-01,2.119498235804488651e-01,2.191055899325389522e-01,2.127452479791865358e-01,2.232871738279769147e-01,2.219696690714308418e-01,2.481685421174361916e-01,2.596823365227587943e-01,2.388377596092526589e-01
2.564760966813285359e-01,2.565095759109046747e-01,2.634407175221930575e-01,2.391276660686275368e-01,2.443023042248387844e-01,2.357627560077326656e-01,2.424571656699783251e-01,2.366291982920751269e-01,2.427496933281833025e-01,2.406871154359145060e-01,2.626644827396235060e-01,2.779823362134040132e-01,2.533005892015280924e-01
2.561477638211548946e-01,2.644792355319303678e-01,2.613107690356608614e-01,2.458486588260255234e-01,2.509634569879357069e-01,2.478505576409090472e-01,2.533492697321633180e-01,2.484061404010983742e-01,2.502754747725515760e-01,2.465913145475533419e-01,2.618131312750987538e-01,2.825362993361901220e-01,2.532201791857886519e-01
2.449615980119679293e-01,2.611669371076221213e-01,2.515592360331876942e-01,2.414339438912411484e-01,2.429339428467038875e-01,2.398144012187820862e-01,2.431263839119710557e-01,2.396660329869489681e-01,2.433845641687581163e-01,2.406342327373285628e-01,2.536766484632291263e-01,2.726155571849747661e-01,2.439584079712032172e-01
2.179364433338386309e-01,2.397197628038289230e-01,2.309977589113220986e-01,2.195281936947134915e-01,2.205350898490061884e-01,2.142795485131952227e-01,2.185426362401263201e-01,2.138060541945167314e-01,2.213892988204708145e-01,2.180291212855417493e-01,2.328977390133919745e-01,2.479954829754976720e-01,2.180836340446988264e-01
